"","df.1$Date","df.1$Sample.ID","df.1$Site","df.1$Stratum","df.1$Shell.treatment","flag","S","T","Patm","P","pH","CO2","fCO2","pCO2","fCO2pot","pCO2pot","fCO2insitu","pCO2insitu","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite"
"1","7/14/22",107,"Provincetown","2cm","No Shell",15,32.29,21.3,1,0,7.27103171987909,0.000132740151460994,4183.13884990402,4197.21329698495,4183.13884990402,4197.21329698495,4183.13884990402,4197.21352053517,0.0025791939946114,3.43958539276048e-05,0.00274633,0.00266188381487103,0.545366145357134,0.840833132126153
"2","7/14/22",108,"Provincetown","2cm","Shell",15,32.29,21.3,1,0,7.42139542888602,9.69567633256988e-05,3055.47039810228,3065.73763988088,3055.47039810228,3065.73763988088,3055.47039810228,3065.73775913237,0.00266332102924597,5.02122074283271e-05,0.00281049,0.00278284234645542,0.79614357220776,1.22747607115066
"3","7/14/22",109,"Provincetown","Bottom water","No Shell",15,32.29,21.3,1,0,7.54501147763832,6.03508873038593e-05,1901.88227547064,1908.26479114097,1901.88227547064,1908.26479114097,1901.88227547064,1908.26483733743,0.00220366268368871,5.52264290074268e-05,0.00231924,0.00233889117685697,0.875646953641924,1.35005257831931
"4","7/14/22",110,"Provincetown","Bottom water","Shell",15,32.29,21.3,1,0,7.5225769995518,6.41892880328948e-05,2022.84464468902,2029.63402842411,2022.84464468902,2029.63402842411,2022.84464468902,2029.6340806846,0.0022258174270088,5.29732849583102e-05,0.00234298,0.00235539907267478,0.83992205239111,1.29497273724493
"5","7/14/22",111,"Provincetown","2cm",NA,15,32.95,21.9,1,0,7.31759039793349,0.000102284540017446,3287.57149707236,3298.53995032291,3287.57149707236,3298.53995032291,3287.57149707236,3298.5400866604,0.00224022862205601,3.43468379265437e-05,0.00237686,0.00232484391138426,0.544178529748146,0.836337986437112
"6","7/14/22",112,"Provincetown","5cm",NA,15,32.95,21.9,1,0,7.36512468413096,9.06514071527393e-05,2913.66595845292,2923.38281620864,2913.66595845292,2923.38281620864,2913.66595845292,2923.38292329222,0.0022150890045234,3.78895883238606e-05,0.00234363,0.00230847479194179,0.600308549827423,0.922603183253133
"7","7/14/22",113,"Provincetown","10cm",NA,15,32.95,21.9,1,0,7.20187491515318,0.00013583026236543,4365.77902111387,4380.36252825832,4365.77902111387,4380.36252825832,4365.77902111387,4380.36276872192,0.00227910010949826,2.6769628136311e-05,0.0024417,0.00234510185670201,0.424128035083673,0.651834586376597
"8","7/14/22",114,"Provincetown","15cm",NA,15,32.95,21.9,1,0,7.09568542591573,0.000172810393524414,5554.37335937395,5572.95218257384,5554.37335937395,5572.95218257384,5554.37335937395,5572.95257185303,0.00227063450068461,2.08851057909767e-05,0.00246433,0.00232235982981971,0.33089585094484,0.508547755141465
"9","7/14/22",115,"Provincetown","20cm",NA,15,32.95,21.9,1,0,7.1154199355281,0.000165069454792339,5305.56851035366,5323.31012590984,5305.56851035366,5323.31012590984,5305.56851035366,5323.31048108406,0.00226975300454248,2.18475406651803e-05,0.00245667,0.0023238274613139,0.346144311252673,0.53198283369192
"10","7/14/22",116,"Provincetown","Bottom water",NA,15,32.95,21.7,1,0,7.92990163927916,2.10422168865074e-05,672.70096171924,674.944197636692,672.70096171924,674.944197636692,672.70096171924,674.944203366933,0.00188244212580744,0.000117495657306053,0.00202098,0.00217386306501615,1.85997599499241,2.86012163893426
